"","PN","SC","PP","sup"
"1","x","x",0,0
"2","P.N.Hornopirén","actual",25,13475
"3","P.N.Hornopirén","actual",50,0
"4","P.N.Hornopirén","actual",75,0
"5","P.N.Hornopirén","actual",100,25
"6","P.N.Hornopirén","4.5 2050",25,13500
"7","P.N.Hornopirén","4.5 2050",50,0
"8","P.N.Hornopirén","4.5 2050",75,0
"9","P.N.Hornopirén","4.5 2050",100,0
"10","P.N.Hornopirén","4.5 2070",25,13500
"11","P.N.Hornopirén","4.5 2070",50,0
"12","P.N.Hornopirén","4.5 2070",75,0
"13","P.N.Hornopirén","4.5 2070",100,0
"14","P.N.Hornopirén","8.5 2050",25,13500
"15","P.N.Hornopirén","8.5 2050",50,0
"16","P.N.Hornopirén","8.5 2050",75,0
"17","P.N.Hornopirén","8.5 2050",100,0
"18","P.N.Hornopirén","8.5 2070",25,12950
"19","P.N.Hornopirén","8.5 2070",50,525
"20","P.N.Hornopirén","8.5 2070",75,25
"21","P.N.Hornopirén","8.5 2070",100,0
"22","P.N.Alerce Andino","actual",25,15000
"23","P.N.Alerce Andino","actual",50,0
"24","P.N.Alerce Andino","actual",75,0
"25","P.N.Alerce Andino","actual",100,0
"26","P.N.Alerce Andino","4.5 2050",25,15000
"27","P.N.Alerce Andino","4.5 2050",50,0
"28","P.N.Alerce Andino","4.5 2050",75,0
"29","P.N.Alerce Andino","4.5 2050",100,0
"30","P.N.Alerce Andino","4.5 2070",25,15000
"31","P.N.Alerce Andino","4.5 2070",50,0
"32","P.N.Alerce Andino","4.5 2070",75,0
"33","P.N.Alerce Andino","4.5 2070",100,0
"34","P.N.Alerce Andino","8.5 2050",25,15000
"35","P.N.Alerce Andino","8.5 2050",50,0
"36","P.N.Alerce Andino","8.5 2050",75,0
"37","P.N.Alerce Andino","8.5 2050",100,0
"38","P.N.Alerce Andino","8.5 2070",25,15000
"39","P.N.Alerce Andino","8.5 2070",50,0
"40","P.N.Alerce Andino","8.5 2070",75,0
"41","P.N.Alerce Andino","8.5 2070",100,0
"42","P.N.Laguna del Laja","actual",25,5075
"43","P.N.Laguna del Laja","actual",50,275
"44","P.N.Laguna del Laja","actual",75,125
"45","P.N.Laguna del Laja","actual",100,425
"46","P.N.Laguna del Laja","4.5 2050",25,5725
"47","P.N.Laguna del Laja","4.5 2050",50,175
"48","P.N.Laguna del Laja","4.5 2050",75,0
"49","P.N.Laguna del Laja","4.5 2050",100,0
"50","P.N.Laguna del Laja","4.5 2070",25,5650
"51","P.N.Laguna del Laja","4.5 2070",50,250
"52","P.N.Laguna del Laja","4.5 2070",75,0
"53","P.N.Laguna del Laja","4.5 2070",100,0
"54","P.N.Laguna del Laja","8.5 2050",25,5675
"55","P.N.Laguna del Laja","8.5 2050",50,225
"56","P.N.Laguna del Laja","8.5 2050",75,0
"57","P.N.Laguna del Laja","8.5 2050",100,0
"58","P.N.Laguna del Laja","8.5 2070",25,4450
"59","P.N.Laguna del Laja","8.5 2070",50,1350
"60","P.N.Laguna del Laja","8.5 2070",75,100
"61","P.N.Laguna del Laja","8.5 2070",100,0
"62","P.N.Vicente Pérez Rosales","actual",25,85350
"63","P.N.Vicente Pérez Rosales","actual",50,325
"64","P.N.Vicente Pérez Rosales","actual",75,225
"65","P.N.Vicente Pérez Rosales","actual",100,1600
"66","P.N.Vicente Pérez Rosales","4.5 2050",25,80175
"67","P.N.Vicente Pérez Rosales","4.5 2050",50,5800
"68","P.N.Vicente Pérez Rosales","4.5 2050",75,1050
"69","P.N.Vicente Pérez Rosales","4.5 2050",100,475
"70","P.N.Vicente Pérez Rosales","4.5 2070",25,83550
"71","P.N.Vicente Pérez Rosales","4.5 2070",50,3075
"72","P.N.Vicente Pérez Rosales","4.5 2070",75,750
"73","P.N.Vicente Pérez Rosales","4.5 2070",100,125
"74","P.N.Vicente Pérez Rosales","8.5 2050",25,83300
"75","P.N.Vicente Pérez Rosales","8.5 2050",50,3200
"76","P.N.Vicente Pérez Rosales","8.5 2050",75,800
"77","P.N.Vicente Pérez Rosales","8.5 2050",100,200
"78","P.N.Vicente Pérez Rosales","8.5 2070",25,83825
"79","P.N.Vicente Pérez Rosales","8.5 2070",50,2775
"80","P.N.Vicente Pérez Rosales","8.5 2070",75,750
"81","P.N.Vicente Pérez Rosales","8.5 2070",100,150
"82","P.N.Puyehue","actual",25,36000
"83","P.N.Puyehue","actual",50,1075
"84","P.N.Puyehue","actual",75,1050
"85","P.N.Puyehue","actual",100,5900
"86","P.N.Puyehue","4.5 2050",25,35350
"87","P.N.Puyehue","4.5 2050",50,5825
"88","P.N.Puyehue","4.5 2050",75,2350
"89","P.N.Puyehue","4.5 2050",100,500
"90","P.N.Puyehue","4.5 2070",25,39000
"91","P.N.Puyehue","4.5 2070",50,3875
"92","P.N.Puyehue","4.5 2070",75,1050
"93","P.N.Puyehue","4.5 2070",100,100
"94","P.N.Puyehue","8.5 2050",25,36575
"95","P.N.Puyehue","8.5 2050",50,5325
"96","P.N.Puyehue","8.5 2050",75,1725
"97","P.N.Puyehue","8.5 2050",100,400
"98","P.N.Puyehue","8.5 2070",25,41050
"99","P.N.Puyehue","8.5 2070",50,2550
"100","P.N.Puyehue","8.5 2070",75,425
"101","P.N.Puyehue","8.5 2070",100,0
"102","P.N.Palmas de Cocalán","actual",25,225
"103","P.N.Palmas de Cocalán","actual",50,25
"104","P.N.Palmas de Cocalán","actual",75,0
"105","P.N.Palmas de Cocalán","actual",100,850
"106","P.N.Palmas de Cocalán","4.5 2050",25,1050
"107","P.N.Palmas de Cocalán","4.5 2050",50,50
"108","P.N.Palmas de Cocalán","4.5 2050",75,0
"109","P.N.Palmas de Cocalán","4.5 2050",100,0
"110","P.N.Palmas de Cocalán","4.5 2070",25,1050
"111","P.N.Palmas de Cocalán","4.5 2070",50,50
"112","P.N.Palmas de Cocalán","4.5 2070",75,0
"113","P.N.Palmas de Cocalán","4.5 2070",100,0
"114","P.N.Palmas de Cocalán","8.5 2050",25,1025
"115","P.N.Palmas de Cocalán","8.5 2050",50,75
"116","P.N.Palmas de Cocalán","8.5 2050",75,0
"117","P.N.Palmas de Cocalán","8.5 2050",100,0
"118","P.N.Palmas de Cocalán","8.5 2070",25,1025
"119","P.N.Palmas de Cocalán","8.5 2070",50,75
"120","P.N.Palmas de Cocalán","8.5 2070",75,0
"121","P.N.Palmas de Cocalán","8.5 2070",100,0
"122","P.N.Villarrica","actual",25,13900
"123","P.N.Villarrica","actual",50,400
"124","P.N.Villarrica","actual",75,625
"125","P.N.Villarrica","actual",100,4100
"126","P.N.Villarrica","4.5 2050",25,15500
"127","P.N.Villarrica","4.5 2050",50,1850
"128","P.N.Villarrica","4.5 2050",75,1125
"129","P.N.Villarrica","4.5 2050",100,550
"130","P.N.Villarrica","4.5 2070",25,14450
"131","P.N.Villarrica","4.5 2070",50,2300
"132","P.N.Villarrica","4.5 2070",75,1075
"133","P.N.Villarrica","4.5 2070",100,1200
"134","P.N.Villarrica","8.5 2050",25,15425
"135","P.N.Villarrica","8.5 2050",50,1700
"136","P.N.Villarrica","8.5 2050",75,1100
"137","P.N.Villarrica","8.5 2050",100,800
"138","P.N.Villarrica","8.5 2070",25,16750
"139","P.N.Villarrica","8.5 2070",50,1200
"140","P.N.Villarrica","8.5 2070",75,475
"141","P.N.Villarrica","8.5 2070",100,600
"142","P.N.Radal 7 Tazas","actual",25,1150
"143","P.N.Radal 7 Tazas","actual",50,100
"144","P.N.Radal 7 Tazas","actual",75,100
"145","P.N.Radal 7 Tazas","actual",100,125
"146","P.N.Radal 7 Tazas","4.5 2050",25,250
"147","P.N.Radal 7 Tazas","4.5 2050",50,425
"148","P.N.Radal 7 Tazas","4.5 2050",75,425
"149","P.N.Radal 7 Tazas","4.5 2050",100,375
"150","P.N.Radal 7 Tazas","4.5 2070",25,450
"151","P.N.Radal 7 Tazas","4.5 2070",50,400
"152","P.N.Radal 7 Tazas","4.5 2070",75,475
"153","P.N.Radal 7 Tazas","4.5 2070",100,150
"154","P.N.Radal 7 Tazas","8.5 2050",25,425
"155","P.N.Radal 7 Tazas","8.5 2050",50,275
